name,facility_type,latitude,longitude,utm_easting,utm_northing
?punake Police Station,Police station,-39.45348712,173.8578802,1673809.368799173,5632546.355656317
?taki Police Station,Police station,-40.75405005,175.1377462,1780460.6480809022,5486346.846524072
Pahiatua Police Station,Police station,-40.44870428,175.8446277,1841235.6389294132,5518552.216316966
Palmerston North Central Police Station,Police station,-40.3558673,175.6155225,1822109.5208902578,5529459.804158629
P?tea Police Station,Police station,-39.75301271,174.4720168,1726105.0025585962,5598619.340956974
Pongaroa Police Station,Police station,-40.58493942,176.1446688,1866144.3087456024,5502562.783997464
Raetihi Police Station,Police station,-39.42798526,175.2821799,1796432.0656193711,5633242.353827884
Shannon Police Station,Police station,-40.54826424,175.4124017,1804274.9952118178,5508591.364683995
Stratford Police Station,Police station,-39.33870048,174.2827303,1710544.201317079,5644851.88544444
Taihape Police Station,Police station,-39.67839088,175.7982884,1839995.6888260115,5604193.744998062
Taumarunui Police Station,Police station,-38.88373327,175.2675209,1796680.5403355118,5693681.72059551
Waiouru Police Station,Police station,-39.47681363,175.6677886,1829466.0868094184,5626911.002961275
Waitara Police Station,Police station,-39.00251396,174.236503,1707068.9209962513,5682217.265209189
Waverley Police Station,Police station,-39.76387731,174.6334395,1739912.4549308585,5597173.712741197
Westown Police Station,Police station,-39.07122021,174.0619477,1691864.7493419878,5674783.3680046955
Whanganui Central Police Station,Police station,-39.93106383,175.0548592,1775585.126731085,5577872.525192555
Woodville Police Station,Police station,-40.33814035,175.8697746,1843767.231613187,5530757.998835106
Carterton Police Station,Police station,-41.0253099,175.528246,1812557.6733159483,5455353.944874754
Chatham Islands Police Station,Police station,-43.95163234,-176.560905,2437779.775277245,5080227.046392349
Document Examination Section,Police station,-41.28747498,174.7767882,1748782.5942639448,5427807.226584958
Featherston Police Station,Police station,-41.11659907,175.3253664,1795229.174228387,5445693.23508498
K?piti Police Station,Police station,-40.91469797,175.0052296,1768865.083067094,5468776.471543235
Lower Hutt Police Station,Police station,-41.20802,174.908448,1760001.6794503923,5436394.471812
Martinborough Police Station,Police station,-41.21963943,175.4609509,1806289.6203574992,5433940.150093463
Masterton Police Station,Police station,-40.95090313,175.6632607,1824161.9509820654,5463277.2262514215
Naenae Community Policing Centre,Police station,-41.19748404,174.9487724,1763408.8125748208,5437489.19355978
Porirua Police Hub,Police station,-41.13343205,174.8355024,1754060.429290457,5444806.9506447995
Royal New Zealand Police College,Police station,-41.12008593,174.8597195,1756124.7990031969,5446245.501743128
Upper Hutt Police Station,Police station,-41.12593496,175.068689,1773653.5040794483,5445200.441697302
Wainuiomata Police Station,Police station,-41.26037946,174.9468886,1763094.4037421572,5430509.928756972
Waitangirua Police Station,Police station,-41.12991667,174.8808223,1757872.9087608147,5445116.046012813
Wellington Central Police Station,Police station,-41.28747686,174.7767867,1748782.4643811837,5427807.020434592
Blenheim Police Station,Police station,-41.51378325,173.9580958,1679948.8322005938,5403762.500796263
Franz Josef Police Station,Police station,-43.3894041,170.181502,1371719.6303352506,5192082.354808119
Granity Police Station,Police station,-41.63049408,171.8524135,1504411.010133035,5390612.2778237015
Greymouth Police Station,Police station,-42.44972494,171.2082539,1452659.0897454226,5298734.157569015
Haast Police Station,Police station,-43.8812712,169.0415194,1281989.9860436874,5133693.025389048
Havelock Police Station,Police station,-41.27957965,173.7669154,1664225.6992757926,5429922.60234783
Hokitika Police Station,Police station,-42.71787686,170.9642605,1433310.2418285236,5268504.38645856
Kaik?ura Police Station,Police station,-42.40549967,173.678056,1655797.1775702501,5304977.357969777
Karamea Police Station,Police station,-41.24762968,172.111209,1525531.3784863362,5433372.271415835
Motueka Police Station,Police station,-41.10755643,173.0111032,1600932.2764918408,5449302.982986713
Murchison Police Station,Police station,-41.79793311,172.3257869,1543986.8262550735,5372438.975325374
Nelson Central Police Station,Police station,-41.27362427,173.2884332,1624157.0912797942,5430827.214538558
Picton Police Station,Police station,-41.29316166,174.0067349,1684292.2551573403,5428209.6621717345
Reefton Police Station,Police station,-42.11937154,171.8629286,1506006.0251494932,5336344.377265455
Renwick Highway Patrol,Police station,-41.50855067,173.825223,1668866.6316323234,5404457.802761352
